id,government_id,name,slug,created,contacts
358,16,Kensington,kensington,2014-06-06 19:30:06+00:00,0
359,16,Kensington Village,kensington-village,2014-06-06 19:30:28+00:00,1
360,16,Ocean Beach,ocean-beach,2014-06-06 19:31:16+00:00,1
361,16,Kings Point,kings-point,2014-06-06 19:33:08+00:00,1
362,16,Lake Success,lake-success,2014-06-06 19:39:25+00:00,1
363,16,Lloyd Harbor,lloyd-harbor,2014-06-06 19:42:36+00:00,1
364,16,Nissequogue,nissequogue,2014-06-06 19:49:36+00:00,1
365,42,Phoenix Police Department,phoenix-police-department,2014-06-07 06:59:23+00:00,2
366,29,Travis County Human Resources,travis-county-human-resources,2014-06-10 16:07:40+00:00,3
367,11,Shreve Memorial Library,shreve-memorial-library,2014-06-10 18:48:16+00:00,0
368,11,Shreve Memorial Library,shreve-memorial-library-2,2014-06-10 18:48:37+00:00,0
369,1,Consumer Financial Protection Bureau,consumer-financial-protection-bureau,2014-06-10 21:04:29+00:00,1
370,1,Department of Housing and Urban Development,department-of-housing-and-urban-development,2014-06-10 21:22:35+00:00,1
371,16,Metropolitan Transportation Authority,metropolitan-transportation-authority,2014-06-10 23:36:45+00:00,0
372,14,Michigan Department of Community Health,michigan-department-of-community-health,2014-06-11 10:18:20+00:00,1
373,1,The Centers for Medicaid and Medicare Services,cms,2014-06-11 11:35:51+00:00,2
375,29,Texas Department of Insurance,texas-department-of-insurance,2014-06-11 15:22:28+00:00,3
376,1,Immigration and Customs Enforcement,immigration-and-customs-enforcement,2014-06-11 22:18:26+00:00,1
377,29,City of Irving,city-of-irving,2014-06-12 15:11:08+00:00,2
378,29,City of Richardson,city-of-richardson,2014-06-12 15:18:36+00:00,1
379,11,Orleans Parish Sheriff's Office,orleans-parish-sheriffs-office,2014-06-13 15:09:48+00:00,1
380,25,Jersey City Clerk's Office,jersey-city-clerks-office,2014-06-13 18:16:48+00:00,0
381,29,City of Allen,city-of-allen,2014-06-14 19:47:36+00:00,3
382,29,City of Beaumont,city-of-beaumont,2014-06-14 19:48:59+00:00,1
383,29,City of Bryan,city-of-bryan,2014-06-14 19:50:06+00:00,1
384,29,City of College Station,college-station,2014-06-14 19:51:18+00:00,1
385,29,City of Edinburg,city-of-edinburg,2014-06-14 19:54:39+00:00,1
386,29,City of Frisco,city-of-frisco,2014-06-14 19:55:40+00:00,2
387,29,League City,league-city,2014-06-14 19:57:40+00:00,1
388,29,City of Lewisville,city-of-lewisville,2014-06-14 19:58:49+00:00,2
389,29,Missouri City,missouri-city,2014-06-14 20:00:15+00:00,1
390,29,City of Odessa,city-of-odessa,2014-06-14 20:01:52+00:00,1
391,29,City of Pearland,city-of-pearland,2014-06-14 20:02:58+00:00,1
392,29,City of Pharr,city-of-pharr,2014-06-14 20:04:27+00:00,1
393,29,City of San Angelo,city-of-san-angelo,2014-06-14 20:06:48+00:00,1
394,29,City of Sugar Land,city-of-sugar-land,2014-06-14 20:07:57+00:00,1
395,29,City of Temple,city-of-temple,2014-06-14 20:09:13+00:00,0
396,29,Wichita Falls,wichita-falls,2014-06-14 20:10:08+00:00,1
397,29,Brazoria County,brazoria-county,2014-06-15 00:28:46+00:00,1
398,29,Hidalgo County,hidalgo-county,2014-06-15 00:29:58+00:00,1
399,29,Jefferson County,jefferson-county,2014-06-15 00:31:32+00:00,1
400,29,Webb County,webb-county,2014-06-15 00:33:05+00:00,1
401,29,Williamson County,williamson-county,2014-06-15 00:34:20+00:00,3
402,29,McLennan County,mclennan-county,2014-06-15 00:42:41+00:00,1
403,29,Smith County,smith-county,2014-06-15 00:45:25+00:00,0
404,29,Hays County,hays-county,2014-06-15 00:50:41+00:00,3
405,29,Johnson County,johnson-county,2014-06-15 00:53:58+00:00,1
406,29,Taylor County,taylor-county,2014-06-15 01:10:26+00:00,1
408,29,Potter County,pottery-county,2014-06-15 15:02:20+00:00,1
409,29,Comal County,comal-county,2014-06-15 15:10:23+00:00,1
411,1,U.S. Department of Health and Human Services Office of the Inspector General,us-department-of-health-and-human-services-office,2014-06-16 20:03:23+00:00,0
412,46,North Dakota Department of Health,north-dakota-department-of-helath,2014-06-16 23:12:17+00:00,1
413,23,Chicago Department of Buildings,chicago-department-of-buildings,2014-06-18 17:41:51+00:00,2
415,11,Southern University System,southern-university-system,2014-06-18 22:45:20+00:00,1
416,1,Small Business Administration,small-business-administration,2014-06-19 09:29:22+00:00,1
417,16,Cortland County Health Department Division of Environmental Health,cortland-county-health-department-division-of-envi,2014-06-19 17:02:22+00:00,1
418,16,Westchester County Department of Health,westchester-county-department-of-health,2014-06-19 17:44:31+00:00,1
419,47,Ohio EPA Division of Environmental Response and Revitalization,ohio-epa-division-of-environmental-response-and-re,2014-06-19 18:21:13+00:00,1
420,5,Missouri Department of Natural Resources,missouri-department-of-natural-resources,2014-06-19 19:37:39+00:00,3
421,9,Kansas Department of Health and Environment,kansas-department-of-health-and-environment,2014-06-19 20:05:12+00:00,1
422,13,Nebraska Department of Environmental Quality,nebraska-department-of-environmental-quality,2014-06-19 20:49:03+00:00,1
423,35,Iowa Environmental Enforcement,iowa-environmental-enforcement,2014-06-19 21:16:38+00:00,0
424,35,Iowa Department of Natural Resources,iowa-environmental-enforcement-2,2014-06-19 21:16:39+00:00,1
425,38,Minnesota Pollution Control Agency,minnesota-pollution-control-agency,2014-06-19 21:46:21+00:00,1
426,48,Oklahoma Corporation Commission,oklahoma-corporation-commission,2014-06-19 21:47:00+00:00,1
427,29,Spring ISD,spring-isd,2014-06-22 14:53:52+00:00,1
428,29,Nacogdoches County,nacogdoches-county,2014-06-22 14:58:15+00:00,1
429,29,Harrison County,harrison-county,2014-06-22 14:59:44+00:00,1
430,29,City of De Soto,city-of-de-soto,2014-06-22 15:32:09+00:00,2
431,29,Brazos County,brazos-county,2014-06-23 16:11:47+00:00,1
432,29,City of San Antonio,city-of-san-antonio,2014-06-24 15:00:34+00:00,2
433,29,City of Austin,city-of-austin,2014-06-24 15:20:22+00:00,1
434,1,VA Nebraska-Western Iowa Health Care System,va-nebraska-western-iowa-health-care-system,2014-06-24 15:37:18+00:00,1
435,29,City of Waco,city-of-waco,2014-06-24 15:43:20+00:00,1
436,29,City of Round Rock,city-of-round-rock,2014-06-24 16:35:50+00:00,1
437,29,City of Plano,city-of-plano,2014-06-25 15:38:53+00:00,2
438,29,City of Corpus Cristi,city-of-corpus-cristi,2014-06-25 17:56:10+00:00,1
439,29,City of Arlington,city-of-arlington,2014-06-25 18:06:15+00:00,2
441,20,Clark County Sheriff,clark-county-sheriff,2014-06-26 18:07:55+00:00,0
442,20,Clark County Sheriff,clark-county-sheriff-2,2014-06-26 18:07:56+00:00,1
443,20,Vancouver Police Department,vancouver-police-department,2014-06-26 18:16:34+00:00,2
444,20,Vancouver Police Department,vancouver-police-department-2,2014-06-26 18:20:54+00:00,0
445,49,Portland Police Department,portland-police-department,2014-06-26 18:28:00+00:00,2
446,49,Multnomah County Sheriff's Office,multnomah-county-sheriffs-office,2014-06-26 18:51:18+00:00,1
447,20,Skamania County Sheriff,skamania-county-sheriff,2014-06-26 19:01:16+00:00,1
448,49,Beaverton Police Department,beaverton-police-department,2014-06-26 19:12:10+00:00,1
449,49,Gresham Police Department,gresham-police-department,2014-06-26 19:15:39+00:00,1
450,49,Troutdale Police Department,troutdale-police-department,2014-06-26 19:18:42+00:00,1
451,49,Lake Oswego Police Department,lake-oswego-police-department,2014-06-26 19:20:43+00:00,1
452,49,Hood River County Sheriff's Office,hood-river-county-sheriffs-office,2014-06-26 19:27:50+00:00,1
453,20,Pullman Police Department,pullman-police-department,2014-06-26 19:30:48+00:00,1
454,20,Whitman County Sheriff,whitman-county-sheriff,2014-06-26 19:36:20+00:00,1
455,8,Moscow Police Department,moscow-police-department,2014-06-26 19:40:41+00:00,1
456,8,Latah County Sheriff,latah-county-sheriff,2014-06-26 19:44:52+00:00,1
457,1,U.S. Customs and Border Protection,us-customs-and-border-protection,2014-06-26 20:06:03+00:00,0
458,33,Mississippi State Department of Health,mississippi-state-department-of-health-2,2014-06-26 22:37:40+00:00,1
459,1,Executive Office of Immigration Review,executive-office-of-immigration-review,2014-06-26 23:25:21+00:00,1
460,1,Executive Office of Immigration Review,executive-office-of-immigration-review-2,2014-06-26 23:31:16+00:00,0
461,1,bureau of prisons,bureau-of-prisons,2014-06-27 00:07:08+00:00,1
462,1,U.S. Agency for International Development (USAID),usaid,2014-06-27 00:08:56+00:00,1
463,30,City of Oakland,city-of-oakland-2,2014-06-27 00:53:27+00:00,0
464,29,Kerr County,kerr-county,2014-06-27 20:42:45+00:00,0
465,29,Jim Wells County,jim-wells-county,2014-06-27 20:54:37+00:00,1
466,1,Millennium Challenge Corporation,millennium-challenge-corporation,2014-06-27 21:29:01+00:00,1
467,25,Newark Public Schools,newark-public-schools,2014-06-27 23:14:11+00:00,1
468,25,Newark Public Schools,newark-public-schools-2,2014-06-30 16:44:09+00:00,1
470,29,Smith County Sheriff's Office,smith-county-sheriffs-office,2014-06-30 20:06:24+00:00,1
471,29,City of Tyler,city-of-tyler,2014-06-30 20:27:41+00:00,1
472,29,Tyler ISD,tyler-isd,2014-06-30 20:32:48+00:00,1
473,1,National Personnel Records Center,-4,2014-06-30 21:12:20+00:00,3
474,40,Office of the Governor,office-of-the-governor-5,2014-06-30 22:18:44+00:00,0
475,1,US Marshals Service,us-marshals-service,2014-07-01 00:56:34+00:00,1
476,30,Contra Costa County,contra-costa-county,2014-07-01 03:59:13+00:00,0
477,30,Contra Costa District Attorney,contra-costa-district-attorney,2014-07-01 04:00:46+00:00,1
478,29,City of Laredo,city-of-laredo,2014-07-01 15:19:30+00:00,1
479,29,City of Laredo,city-of-laredo-2,2014-07-01 15:22:12+00:00,0
480,29,City of Midland,city-of-midland,2014-07-01 15:31:18+00:00,2
481,29,El Paso County,el-paso-county,2014-07-01 16:24:07+00:00,2
482,25,New Jersey State Department of Transportation,new-jersey-department-of-transportation,2014-07-01 18:22:36+00:00,1
483,12,Connecticut Department of Transportation,department-of-transportation-3,2014-07-01 19:32:21+00:00,2
484,25,Department of Community Affairs,department-of-community-affairs,2014-07-02 14:09:01+00:00,0
485,29,City of Houston,city-of-houston-human-resources,2014-07-02 15:24:20+00:00,4
486,39,North Carolina Adminstrative Office of The Courts,north-carolina-adminstrative-office-of-the-courts,2014-07-02 19:40:09+00:00,1
487,37,Palm Beach County School Board,palm-beach-county-school-board,2014-07-03 21:09:14+00:00,1
488,27,Shelby County ,shelby-county,2014-07-04 14:45:17+00:00,3
489,1,USAF,usaf,2014-07-07 01:16:24+00:00,0
490,16,Department of Motor Vehicles,department-of-motor-vehicles,2014-07-07 15:38:53+00:00,1
491,21,West Virginia Department of Corrections,west-virginia-department-of-corrections,2014-07-08 05:07:13+00:00,1
492,25,Newark Public Schools ,newark-public-schools-4,2014-07-08 16:49:47+00:00,0
493,29,County of Franklin,county-of-franklin,2014-07-08 17:10:22+00:00,1
494,27,City of Memphis,city-of-memphis,2014-07-09 15:17:10+00:00,1
495,33,Department of Finance,department-of-finance,2014-07-09 16:12:45+00:00,1
496,33,DeSoto County Administrative Office ,desoto-county-administrative-office,2014-07-09 16:17:07+00:00,1
497,27,Shelby County Schools,shelby-county-schools,2014-07-09 16:20:18+00:00,3
498,3,Arkansas State Police,arkansas-state-police,2014-07-09 16:48:42+00:00,1
499,3,"Arkansas State Police, Criminal Investigations Division",arkansas-state-police-criminal-investigations-divi,2014-07-09 16:49:08+00:00,1
500,3,"Arkansas State Police, Info",arkansas-state-police-info,2014-07-09 17:00:31+00:00,1
501,33,City of Olive Branch,city-of-olive-branch,2014-07-09 18:53:55+00:00,1
502,33,City of Southaven,city-of-southaven,2014-07-09 18:56:34+00:00,1
503,5,St. Louis County Police Department,st-louis-county-police-department,2014-07-09 21:57:54+00:00,2
505,40,Alabama Department of Youth Services,alabama-department-of-youth-services,2014-07-10 00:35:06+00:00,1
506,33,city of hernanado,city-of-hernanado,2014-07-10 16:05:06+00:00,1
507,37,Clay County Sheriff's Office,clay-county-sheriffs-office,2014-07-10 17:14:06+00:00,0
508,1,Centers for Disease Control Prevention,centers-for-disease-control-prevention,2014-07-10 18:40:12+00:00,1
509,1,Department of State,department-of-state-3,2014-07-10 19:30:34+00:00,1
510,1,Department of Energy,department-of-energy,2014-07-10 21:39:48+00:00,1
512,1,FBI,fbi,2014-07-10 23:04:20+00:00,2
513,1,Federal Bureau of Investigation - HQ,federal-bureau-of-investigation-hq,2014-07-10 23:48:35+00:00,2
514,33,City of Tupelo,city-of-tupelo,2014-07-11 15:26:40+00:00,0
515,33,City of Tupelo,city-of-tupelo-2,2014-07-11 15:27:02+00:00,2
516,33,City of Greenville,city-of-greenville,2014-07-11 16:06:41+00:00,0
517,33,city of Greenville,city-of-greenville-2,2014-07-11 16:09:56+00:00,0
518,33,City of Greenville,city-of-greenville-3,2014-07-11 16:15:32+00:00,1
519,1,healthcare,healthcare,2014-07-11 23:14:03+00:00,0
520,1,Department of Health and Human Services: Health Resources and Services Administration,department-of-health-and-human-services-health-res,2014-07-11 23:18:37+00:00,2
521,5,casenet,casenet,2014-07-12 21:47:04+00:00,0
522,16,New York University,new-york-university,2014-07-13 07:50:28+00:00,0
523,16,New York University,new-york-university-2,2014-07-13 07:53:40+00:00,3
524,20,Washington State Department of Transportation,department-of-transportation-4,2014-07-14 23:28:13+00:00,3
525,20,Washington State Department of Natural Resources,washington-department-of-natural-resources,2014-07-14 23:30:47+00:00,1
526,25,Jersey City Department of Pubic Safety,jersey-city-department-of-pubic-safety,2014-07-15 12:48:41+00:00,1
527,30,City of Santa Monica Rent Control Board,city-of-santa-monica-rent-control-board,2014-07-15 17:31:27+00:00,1
528,37,Florida Department of Corrections (DOC),florida-department-of-corrections,2014-07-15 18:08:00+00:00,6
529,30,CDCR Press office,cdcr-press-office,2014-07-15 18:44:46+00:00,1
530,35,Department of Corrections,department-of-corrections,2014-07-15 18:53:28+00:00,1
531,29,Department of Criminal Justice,department-of-criminal-justice,2014-07-15 19:09:16+00:00,2
532,25,State Police ,state-police,2014-07-15 19:33:22+00:00,0
533,49,Portland Revenue Bureau,portland-revenue-bureau,2014-07-15 21:00:38+00:00,1
534,1,Veterans Benefit Administration,veterans-benefit-administration,2014-07-15 23:18:09+00:00,4
535,33,Mississippi Dept of Education,mississippi-dept-of-education,2014-07-16 19:25:42+00:00,1
536,25,Jersey City Board of Education,jersey-city-board-of-education,2014-07-16 21:38:48+00:00,2
537,33,DeSoto County Schools,desoto-county-schools,2014-07-17 15:17:12+00:00,2
538,25,Hudson County Prosecutor's Office,hudson-county-prosecutors-office,2014-07-17 15:17:38+00:00,1
539,25,Jersey City Office of the City Clerk,jersey-city-office-of-the-city-clerk,2014-07-17 15:25:02+00:00,1
540,25,Hudson County Sheriff's Office,hudson-county-sheriffs-office,2014-07-17 15:38:35+00:00,1
541,3,West Memphis School District,west-memphis-school-district,2014-07-17 15:59:07+00:00,1
542,1,National Highway Traffic Safety Administration,national-highway-traffic-safety-administration,2014-07-17 17:15:34+00:00,2
544,24,USM,usm,2014-07-18 12:11:22+00:00,1
546,1,National Security Agency,national-security-agency-4,2014-07-18 17:49:00+00:00,1
547,1,asipress,asipress,2014-07-19 14:29:31+00:00,0
548,1,U.S. Department of Education,us-department-of-education-2,2014-07-21 15:30:16+00:00,1
549,24,York County Courthouse,york-county-courthouse,2014-07-21 18:30:45+00:00,1
550,24,Judicial Branch Service Center,judicial-branch-service-center,2014-07-21 19:41:29+00:00,1
551,30,SFUSD,sfusd,2014-07-21 20:17:34+00:00,1
552,42,Arizona Department of Corrections,arizona-department-of-corrections,2014-07-21 21:31:26+00:00,1
554,8,Idaho Department of Corrections,idaho-department-of-corrections-2,2014-07-21 21:52:10+00:00,1
555,28,Indiana Department of Corrections,indiana-department-of-corrections,2014-07-22 15:56:44+00:00,1
556,18,Utah Department of Corrections,utah-department-of-corrections,2014-07-22 16:25:39+00:00,1
557,14,Michigan Department of Corrections,michigan-department-of-corrections,2014-07-22 17:53:49+00:00,2
558,25,Perth Amboy Public Schools,perth-amboy-public-schools,2014-07-23 19:42:20+00:00,2
559,30,Department of Public Health,department-of-public-health,2014-07-23 19:55:48+00:00,1
560,25,New Jersey Division of Alcoholic Beverage Control,new-jersey-division-of-alcoholic-beverage-control,2014-07-23 22:22:36+00:00,1
561,16,New York State Liquor Authority,new-york-state-liquor-authority,2014-07-23 23:15:32+00:00,1
562,1,CIA,cia-2,2014-07-24 01:17:49+00:00,0
563,25,New Jersey Juvenile Justice Commission,new-jersey-juvenile-justice-commission,2014-07-24 15:52:59+00:00,0
564,20,Washington DOC,washington-doc,2014-07-24 19:41:54+00:00,1
565,34,South Carolina DOC,south-carolina-doc,2014-07-24 19:56:42+00:00,1
566,39,North Carolina DOC,north-carolina-doc,2014-07-24 20:02:39+00:00,2
567,22,Wisconsin DOC,wisconsin-doc,2014-07-24 20:25:37+00:00,1
568,32,Department of Transportation,department-of-transportation-5,2014-07-24 20:25:45+00:00,1
569,27,Millington Municipal Schools,millington-municipal-schools,2014-07-24 21:28:02+00:00,1
570,27,Millington Municipal Schools,millington-municipal-schools-2,2014-07-24 21:30:20+00:00,0
571,22,Wisc Senate GOP Caucus,sen-vukmir,2014-07-25 14:27:36+00:00,1
572,3,Arkansas DOC,arkansas-doc,2014-07-25 20:08:55+00:00,2
573,43,Deleware DOC,deleware-doc,2014-07-25 20:14:51+00:00,1
574,12,Connecticut DOC,connecticut-doc,2014-07-25 20:21:28+00:00,2
575,23,Illinois DOC,illinois-doc,2014-07-25 20:37:06+00:00,2
576,9,Kansas DOC ,kansas-doc,2014-07-25 20:49:04+00:00,2
577,40,Alabama Department of Corrections (DOC),alabama-doc,2014-07-25 20:57:35+00:00,4
578,30,Ventura County Sherriff’s office ,ventura-county-sherriffs-office,2014-07-26 04:07:31+00:00,0
579,52,U.S. Chemical Safety and Hazard Investigation Board,us-chemical-safety-and-hazard-investigation-board,2014-07-28 16:07:13+00:00,0
580,10,Kentucky DOC,kentucky-doc,2014-07-28 20:54:45+00:00,1
581,4,Colorado DOC,colorado-doc,2014-07-28 20:57:42+00:00,2
582,24,Maine DOC,maine,2014-07-28 21:01:49+00:00,2
583,29,Wood County Justice of the Peace,wood-county-justice-of-the-peace,2014-07-29 19:13:51+00:00,1
584,19,Commonwealth Attorney's Office,commonwealth-attorneys-office,2014-07-30 16:07:15+00:00,0
585,16,Niagra Police Department,niagra-police-department,2014-07-31 13:33:27+00:00,0
586,16,Erie Police Department,erie-police-department,2014-07-31 13:34:15+00:00,0
587,27,Memphis Chamber,memphis-chamber,2014-07-31 16:50:26+00:00,1
588,27,WMC test,wmc-test,2014-07-31 16:53:12+00:00,1
589,20,Washington State Department of Labor and Industries,washington-state-department-of-labor-and-industrie,2014-08-01 18:22:29+00:00,2
590,35,Iowa State  University,iowa-state-university,2014-08-04 16:40:38+00:00,1
591,1,"United States Department of Justice, Office of Professional Responsibility",united-states-department-of-justice-office-of-prof,2014-08-04 19:34:12+00:00,1
592,25,New Jersey Assembly,new-jersey-assembly,2014-08-04 20:37:13+00:00,1
593,25,New Jersey Assembly ,new-jersey-assembly-2,2014-08-04 20:43:32+00:00,0
594,25,New Jersey Senate,new-jersey-senate,2014-08-04 21:01:16+00:00,1
595,25,New Jersey Senate,new-jersey-senate-2,2014-08-04 21:05:50+00:00,0
596,31,Hawaii Records,hawaii-records,2014-08-04 21:54:00+00:00,1
597,7,Georgia Department of Corrections,georgia-department-of-corrections,2014-08-04 21:56:22+00:00,2
598,48,Ardmore Deptment of Environmental Quality,ardmore-deptment-of-environmental-quality,2014-08-05 04:12:15+00:00,1
599,27,,city-of-memphis-2,2014-08-05 14:10:58+00:00,1
600,1,National Science Foundation,national-science-foundation,2014-08-05 14:11:40+00:00,1
601,27,Memphis Light gas water,city-of-memphis-3,2014-08-05 14:11:43+00:00,0
602,17,Throop Borough,throop-borough,2014-08-05 16:53:57+00:00,1
603,38,Minnesota DOC,minnesota-doc,2014-08-05 18:12:15+00:00,1
604,33,Mississippi DOC,mississippi-doc,2014-08-05 18:15:23+00:00,2
605,5,Missouri DOC,missouri-doc,2014-08-05 18:17:45+00:00,1
606,29,Health and Human Services Commission,health-and-human-services-commission,2014-08-05 19:32:41+00:00,5
608,29,Dept. Family and Protective Services,dept-family-and-protective-services,2014-08-05 19:45:01+00:00,3
609,29,Dept. of Aging and Disability Services,about-8690000-dept-of-aging-and-disability-service,2014-08-05 19:47:18+00:00,3
610,29,Dept. of State Health Services,dept-of-state-health-services,2014-08-05 19:48:49+00:00,3
611,29,Dept. of Assistive and Rehabilitative Services,dept-of-assistive-and-rehabilitative-services,2014-08-05 19:50:52+00:00,2
612,13,Nebraska DOC,nebraska-doc,2014-08-05 21:20:50+00:00,2
613,45,Nevada DOC,nevada-doc,2014-08-06 14:12:06+00:00,1
614,6,New Mexico DOC,new-mexico-doc,2014-08-06 14:15:08+00:00,0
615,47,Ohio DOC,ohio-doc,2014-08-06 14:26:09+00:00,4
616,1,Environmental Protection Agency Region 3,environmental-protection-agency-region-3,2014-08-06 14:29:26+00:00,1
617,48,Oklahoma DOC,oklahoma-doc,2014-08-06 14:39:54+00:00,2
618,51,Wyoming DOC,wyoming-doc,2014-08-06 14:47:55+00:00,1
619,50,South Dakota DOC,south-dakota-doc,2014-08-06 14:49:35+00:00,2
620,21,West Virginia DOC,west-virginia-doc,2014-08-06 15:06:46+00:00,2
621,21,West Virginia DOC,west-virginia-doc-2,2014-08-06 15:08:01+00:00,0
622,17,Pennsylvania FOI office,pennsylvania-foi-office,2014-08-06 22:02:10+00:00,0
623,2,Vermont DOC,vermont-doc,2014-08-06 22:04:26+00:00,1
624,46,North Dakota DOC,north-dakota-doc,2014-08-06 22:06:19+00:00,2
625,41,Alaska DOC,alaska-doc,2014-08-06 22:07:54+00:00,1
626,19,Virginia DOC,virginia-doc,2014-08-06 22:09:28+00:00,1
627,32,Massachusettes DOC,massachusettes-doc,2014-08-06 22:10:56+00:00,1
628,16,New York State Department of Labor,new-york-state-department-of-labor,2014-08-07 14:53:34+00:00,0
629,16,New York State Department of Labor,new-york-state-department-of-labor-2,2014-08-07 14:57:12+00:00,1
630,47,Cincinnati Police Department ,cincinnati-police-department,2014-08-07 18:47:49+00:00,0
631,49,Oregon DOC,oregon-doc,2014-08-07 18:52:46+00:00,1
632,26,Rhode Island DOC,rhode-island-doc,2014-08-07 18:55:45+00:00,3
633,25,New Jersey Department of Labor,new-jersey-department-of-labor,2014-08-07 20:54:46+00:00,1
634,25,New Jersey Department of Health,new-jersey-department-of-health,2014-08-07 20:55:42+00:00,1
635,23,Illinois State Board of Education,illinois-state-board-of-education,2014-08-08 22:54:50+00:00,2
636,34,Town of Allendale,town-of-allendale,2014-08-09 00:28:00+00:00,1
637,34,Allendale County Government,allendale-county-government,2014-08-09 00:28:23+00:00,0
638,34,Allendale County Schools,allendale-county-schools,2014-08-09 00:28:48+00:00,0
639,34,Town of Fairfax,town-of-fairfax,2014-08-09 00:29:03+00:00,0
640,34,Town of Ulmer,town-of-ulmer,2014-08-09 00:29:14+00:00,0
641,34,Town of Sycamore,town-of-sycamore,2014-08-09 00:29:23+00:00,0
642,39,City of Raleigh,city-of-raleigh-purchasing-dept,2014-08-11 21:22:01+00:00,1
644,29,Office of the Attorney General,office-of-the-attorney-general,2014-08-11 21:50:09+00:00,5
645,29,Texas Attorney General,texas-attorney-general,2014-08-11 21:53:48+00:00,1
646,5,Missouri Auditor,missouri-auditor,2014-08-12 16:18:53+00:00,2
647,15,New Hampshire DOC,new-hampshire-doc,2014-08-13 15:48:04+00:00,2
648,25,New Jersey Assembly Clerk,new-jersey-assembly-clerk,2014-08-13 20:24:50+00:00,1
649,25,New Jersey Senate Clerk,new-jersey-senate-clerk,2014-08-13 20:30:29+00:00,2
650,1,Environmental Protection Agency (EPA),environmental-protection-agency-epa,2014-08-13 21:33:36+00:00,1
651,14,Michigan State Police,michigan-state-police,2014-08-14 10:28:09+00:00,3
652,16, North Tonawanda Police Department,north-tonawanda-police-department,2014-08-14 16:40:19+00:00,1
653,16,Niagara Police Department,niagara-police-department,2014-08-14 16:41:12+00:00,1
654,1,Defense Logistics Agency,defense-logistics-agency,2014-08-14 18:14:35+00:00,1
655,17,Aspinwall Police Department,aspinwall-police-department,2014-08-15 17:22:29+00:00,0
656,52,Department of Consumer and Regulatory Affairs (DCRA),department-of-consumer-and-regulatory-affairs-dcra,2014-08-15 18:14:08+00:00,0
657,14,Kent County Clerks Office,kent-county-clerks-office,2014-08-15 18:44:10+00:00,1
658,52,DC Dept. of Health,dc-dept-of-health,2014-08-15 19:40:07+00:00,1
659,16,Department of Mental Health,department-of-mental-health,2014-08-15 21:17:16+00:00,0
661,52,"Washington, DC Police",washington-dc-police,2014-08-18 11:50:44+00:00,3
662,5,Ferguson Police Department,ferguson-police-department,2014-08-18 14:58:08+00:00,0
663,5,Missouri Highway Patrol,missouri-highway-patrol,2014-08-19 18:01:19+00:00,0
664,16,Niagara Falls Police Department,niagara-falls-police-department,2014-08-19 19:57:45+00:00,0
665,23,Chicago Police Department,chicago-police-department,2014-08-19 22:32:05+00:00,2
666,23,Chicago City Clerk,chicago-city-clerk,2014-08-19 22:47:03+00:00,1
667,10,Louisville Metro Police Department,louisville-metro-police-department,2014-08-20 00:23:05+00:00,2
668,22,Milwaukee Police Department,milwaukee-police-department,2014-08-20 00:46:19+00:00,2
669,48,Oklahoma City Police Department,oklahoma-city-police-department,2014-08-20 00:50:18+00:00,1
670,36,Baltimore Police Department,baltimore-police-department,2014-08-20 00:56:33+00:00,2
671,6,Albuquerque Police Department,albuquerque-police-department,2014-08-20 01:02:43+00:00,1
672,30,Fresno Police Department,fresno-police-department,2014-08-20 01:10:04+00:00,1
673,27,Memphis Police Department,memphis-police-department,2014-08-20 01:20:54+00:00,1
674,30,Cal OES,cal-oes,2014-08-20 17:46:44+00:00,1
675,23,Village of Schiller Park,village-of-schiller-park,2014-08-21 17:39:36+00:00,1
676,23,Chicago Department of Administrative Hearings,chicago-department-of-administrative-hearings,2014-08-22 17:36:50+00:00,1
677,23,Chicago Department of Public Health,chicago-department-of-public-health,2014-08-22 18:18:27+00:00,1
679,7,DFCS,dfcs,2014-08-25 14:32:11+00:00,1
680,47,Mentor,mentor,2014-08-26 20:07:54+00:00,1
681,30,district attorney,district-attorney,2014-08-26 22:00:02+00:00,0
682,30,Del Norte D.A.,del-norte-da,2014-08-26 22:01:06+00:00,1
683,23,Illinois Department of Transportation (IDOT),illinois-department-of-transportation,2014-08-27 03:49:43+00:00,1
684,40,Alabama Emergency Management Agency,alabama-emergency-management-agency,2014-08-27 21:21:20+00:00,1
685,42,Arizona Emergency Response Commission,arizona-emergency-response-commission,2014-08-27 23:01:59+00:00,1
686,4,Office of Emergency Management,office-of-emergency-management,2014-08-27 23:18:01+00:00,1
687,12,Oil & Chemical Spills Division,oil-chemical-spills-division,2014-08-27 23:22:16+00:00,1
688,43,Delaware Department of Safety & Homeland Security,delaware-department-of-safety-homeland-security,2014-08-27 23:25:23+00:00,0
689,43,Delaware Emergency Management Agency,delaware-emergency-management-agency,2014-08-27 23:26:23+00:00,1
690,52,Homeland Security & Emergency Management Agency,homeland-security-emergency-management-agency,2014-08-27 23:30:37+00:00,1
691,8,Idaho Military Division,idaho-military-division,2014-08-27 23:33:56+00:00,1
692,23,Illinois Emergency Management Agency,state-emergency-response-commission,2014-08-27 23:36:34+00:00,1
693,28,Indiana Emergency Response Commission,indiana-emergency-response-commission,2014-08-27 23:43:03+00:00,1
694,35,Iowa Emergency Response Commission,iowa-emergency-response-commission,2014-08-27 23:46:53+00:00,1
